model_id,model_name,election_date,datasource_weight,model_time_interval,model_time_distance,model_time_id,GT_end_date,GT_start_date,GT_identifier,election,model_time_period_color,parties,data_election,data_election_previous,name_GT_datasets,GT_keywords,data_GT_year,predictions_Infratest,predictions_Forsa,predictions_Kantar,predictions_FGW,predictions_Allens,predictions_GT,predictions_GT_election_weight,Weight_Model_2,Poll_dates_weekly_weighting,GT_data_weekly_weighting,predicitons_GT_weekly_polls,predicitons_GT_weekly_polls_mean,predictions
52,M_100_2013_int_91_days_dist_1_days_GT,2013-09-22,GT,7862400s (~13 weeks),1d 0H 0M 0S,days,2013-09-21,2013-06-22,2013-06-22-2013-09-21,"22 Sep, 2013",2.98973305954825 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
53,M_101_2013_int_91_days_dist_51_days_GT,2013-09-22,GT,7862400s (~13 weeks),51d 0H 0M 0S,days,2013-08-02,2013-05-03,2013-05-03-2013-08-02,"22 Sep, 2013",2.98973305954825 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
54,M_102_2013_int_91_days_dist_101_days_GT,2013-09-22,GT,7862400s (~13 weeks),101d 0H 0M 0S,days,2013-06-13,2013-03-14,2013-03-14-2013-06-13,"22 Sep, 2013",2.98973305954825 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
55,M_103_2013_int_7_days_dist_1_days_GT_election_weight,2013-09-22,GT + election weight,604800s (~1 weeks),1d 0H 0M 0S,days,2013-09-21,2013-09-14,2013-09-14-2013-09-21,"22 Sep, 2013",0.229979466119097 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
56,M_104_2013_int_7_days_dist_51_days_GT_election_weight,2013-09-22,GT + election weight,604800s (~1 weeks),51d 0H 0M 0S,days,2013-08-02,2013-07-26,2013-07-26-2013-08-02,"22 Sep, 2013",0.229979466119097 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
57,M_105_2013_int_7_days_dist_101_days_GT_election_weight,2013-09-22,GT + election weight,604800s (~1 weeks),101d 0H 0M 0S,days,2013-06-13,2013-06-06,2013-06-06-2013-06-13,"22 Sep, 2013",0.229979466119097 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
58,M_106_2013_int_91_days_dist_1_days_GT_election_weight,2013-09-22,GT + election weight,7862400s (~13 weeks),1d 0H 0M 0S,days,2013-09-21,2013-06-22,2013-06-22-2013-09-21,"22 Sep, 2013",2.98973305954825 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
59,M_107_2013_int_91_days_dist_51_days_GT_election_weight,2013-09-22,GT + election weight,7862400s (~13 weeks),51d 0H 0M 0S,days,2013-08-02,2013-05-03,2013-05-03-2013-08-02,"22 Sep, 2013",2.98973305954825 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
60,M_108_2013_int_91_days_dist_101_days_GT_election_weight,2013-09-22,GT + election weight,7862400s (~13 weeks),101d 0H 0M 0S,days,2013-06-13,2013-03-14,2013-03-14-2013-06-13,"22 Sep, 2013",2.98973305954825 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
61,M_109_2013_int_7_days_dist_1_days_GT_weekly_polls_weight,2013-09-22,GT + weekly polls weight,604800s (~1 weeks),1d 0H 0M 0S,days,2013-09-21,2013-09-14,2013-09-14-2013-09-21,"22 Sep, 2013",0.229979466119097 month(s),,,,,"c(""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne + "", ""Linke + Sarah Wagenknecht + Gregor Gysi"", ""FDP + Philipp Rösler""); c(""Bernd Lucke + Afd"", ""CDU + CSU + Angela Merkel"", ""SPD + Peer Steinbrück"", ""Jürgen Trittin + Katrin Göring Eckardt + Grüne"", ""FDP + Philipp Rösler"")",,,,,,,,,,,,,,
